0.3 38.1 0.3 0.3 5 "46%"
0.9 38.1 0.3 0.3 5 ""
1.5 38.1 0.3 0.3 5 ""
2.1 38.1 0.3 0.3 5 ""
2.7 38.1 0.3 0.3 5 ""
3.3 38.1 0.3 0.3 5 ""
3.9 38.1 0.3 0.3 5 ""
4.5 38.1 0.3 0.3 5 ""
0.3 37.5 0.3 0.3 5 ""
0.9 37.5 0.3 0.3 5 ""
1.5 37.5 0.3 0.3 5 ""
2.1 37.5 0.3 0.3 5 ""
2.7 37.5 0.3 0.3 5 ""
3.3 37.5 0.3 0.3 5 ""
3.9 37.5 0.3 0.3 5 ""
4.5 37.5 0.3 0.3 5 ""
0.3 36.9 0.3 0.3 5 ""
0.9 36.9 0.3 0.3 5 ""
1.5 36.9 0.3 0.3 5 ""
2.1 36.9 0.3 0.3 5 ""
2.7 36.9 0.3 0.3 5 ""
3.3 36.9 0.3 0.3 5 ""
3.9 36.9 0.3 0.3 5 ""
4.5 36.9 0.3 0.3 5 ""
0.3 36.3 0.3 0.3 5 ""
0.9 36.3 0.3 0.3 5 ""
1.5 36.3 0.3 0.3 5 ""
2.1 36.3 0.3 0.3 5 ""
2.7 36.3 0.3 0.3 5 ""
3.3 36.3 0.3 0.3 4 "50%"
3.9 36.3 0.3 0.3 4 ""
4.5 36.3 0.3 0.3 4 ""
0.3 35.7 0.3 0.3 4 ""
0.9 35.7 0.3 0.3 4 ""
1.5 35.7 0.3 0.3 4 ""
2.1 35.7 0.3 0.3 4 ""
2.7 35.7 0.3 0.3 4 ""
3.3 35.7 0.3 0.3 4 ""
3.9 35.7 0.3 0.3 4 ""
4.5 35.7 0.3 0.3 4 ""
0.3 35.1 0.3 0.3 4 ""
0.9 35.1 0.3 0.3 4 ""
1.5 35.1 0.3 0.3 4 ""
2.1 35.1 0.3 0.3 4 ""
2.7 35.1 0.3 0.3 4 ""
3.3 35.1 0.3 0.3 4 ""
3.9 35.1 0.3 0.3 4 ""
4.5 35.1 0.3 0.3 4 ""
0.3 34.5 0.3 0.3 4 ""
0.9 34.5 0.3 0.3 4 ""
1.5 34.5 0.3 0.3 4 ""
2.1 34.5 0.3 0.3 4 ""
2.7 34.5 0.3 0.3 4 ""
3.3 34.5 0.3 0.3 4 ""
3.9 34.5 0.3 0.3 4 ""
4.5 34.5 0.3 0.3 4 ""
0.3 33.9 0.3 0.3 4 ""
0.9 33.9 0.3 0.3 4 ""
1.5 33.9 0.3 0.3 4 ""
2.1 33.9 0.3 0.3 4 ""
2.7 33.9 0.3 0.3 4 ""
3.3 33.9 0.3 0.3 3 "4%"
3.9 33.9 0.3 0.3 3 ""
4.5 33.9 0.3 0.3 3 ""
5.1 38.1 0.3 0.3 5 "47%"
5.7 38.1 0.3 0.3 5 ""
6.3 38.1 0.3 0.3 5 ""
6.9 38.1 0.3 0.3 5 ""
7.5 38.1 0.3 0.3 5 ""
8.1 38.1 0.3 0.3 5 ""
8.7 38.1 0.3 0.3 5 ""
9.3 38.1 0.3 0.3 5 ""
5.1 37.5 0.3 0.3 5 ""
5.7 37.5 0.3 0.3 5 ""
6.3 37.5 0.3 0.3 5 ""
6.9 37.5 0.3 0.3 5 ""
7.5 37.5 0.3 0.3 5 ""
8.1 37.5 0.3 0.3 5 ""
8.7 37.5 0.3 0.3 5 ""
9.3 37.5 0.3 0.3 5 ""
5.1 36.9 0.3 0.3 5 ""
5.7 36.9 0.3 0.3 5 ""
6.3 36.9 0.3 0.3 5 ""
6.9 36.9 0.3 0.3 5 ""
7.5 36.9 0.3 0.3 5 ""
8.1 36.9 0.3 0.3 5 ""
8.7 36.9 0.3 0.3 5 ""
9.3 36.9 0.3 0.3 5 ""
5.1 36.3 0.3 0.3 5 ""
5.7 36.3 0.3 0.3 5 ""
6.3 36.3 0.3 0.3 5 ""
6.9 36.3 0.3 0.3 5 ""
7.5 36.3 0.3 0.3 5 ""
8.1 36.3 0.3 0.3 5 ""
8.7 36.3 0.3 0.3 4 "44%"
9.3 36.3 0.3 0.3 4 ""
5.1 35.7 0.3 0.3 4 ""
5.7 35.7 0.3 0.3 4 ""
6.3 35.7 0.3 0.3 4 ""
6.9 35.7 0.3 0.3 4 ""
7.5 35.7 0.3 0.3 4 ""
8.1 35.7 0.3 0.3 4 ""
8.7 35.7 0.3 0.3 4 ""
9.3 35.7 0.3 0.3 4 ""
5.1 35.1 0.3 0.3 4 ""
5.7 35.1 0.3 0.3 4 ""
6.3 35.1 0.3 0.3 4 ""
6.9 35.1 0.3 0.3 4 ""
7.5 35.1 0.3 0.3 4 ""
8.1 35.1 0.3 0.3 4 ""
8.7 35.1 0.3 0.3 4 ""
9.3 35.1 0.3 0.3 4 ""
5.1 34.5 0.3 0.3 4 ""
5.7 34.5 0.3 0.3 4 ""
6.3 34.5 0.3 0.3 4 ""
6.9 34.5 0.3 0.3 4 ""
7.5 34.5 0.3 0.3 4 ""
8.1 34.5 0.3 0.3 4 ""
8.7 34.5 0.3 0.3 4 ""
9.3 34.5 0.3 0.3 4 ""
5.1 33.9 0.3 0.3 4 ""
5.7 33.9 0.3 0.3 4 ""
6.3 33.9 0.3 0.3 3 "9%"
6.9 33.9 0.3 0.3 3 ""
7.5 33.9 0.3 0.3 3 ""
8.1 33.9 0.3 0.3 3 ""
8.7 33.9 0.3 0.3 3 ""
9.3 33.9 0.3 0.3 3 ""
9.9 38.1 0.3 0.3 5 "79%"
10.5 38.1 0.3 0.3 5 ""
11.1 38.1 0.3 0.3 5 ""
11.7 38.1 0.3 0.3 5 ""
