0.30769231 0.09366391 4 4 3 4 "SHOW" "google/gson" ""
0.125 0.12014134 3 3 2 3 "SHOW" "redisson/redisson" ""
0.2195122 0.11910112 4 4 3 5 "SHOW" "alibaba/Sentinel" ""
0.14285714 0.11695906 3 4 4 2 "SHOW" "termux/termux-app" ""
0 0.01680672 5 5 5 5 "SHOW" "ReactiveX/RxAndroid" ""
0.3 0.09459459 3 4 3 3 "SHOW" "apache/rocketmq" ""
0.15384615 0.0569395 5 5 4 5 "SHOW" "brettwooldridge/HikariCP" ""
0.3 0.04210526 2 3 2 2 "SHOW" "Tencent/tinker" ""
0.25 0.02857143 5 5 4 5 "SHOW" "LMAX-Exchange/disruptor" ""
0 0 4 4 4 5 "SHOW" "hdodenhof/CircleImageView" ""
0.28125 0.09480122 5 5 4 5 "SHOW" "baomidou/mybatis-plus" ""
0.5 0.02898551 3 4 4 2 "SHOW" "alibaba/ARouter" ""
0.125 0.04477612 5 5 4 5 "SHOW" "mockito/mockito" ""
0.32 0.10326087 4 4 4 4 "SHOW" "GoogleContainerTools/jib" ""
0.42857143 0.0472973 5 5 4 5 "SHOW" "Netflix/zuul" ""
0.28571429 0.01 4 5 4 4 "SHOW" "Netflix/eureka" ""
0.22580645 0.04320988 4 4 3 5 "SHOW" "redis/jedis" ""
0.5 0.01526718 5 5 4 5 "SHOW" "code4craft/webmagic" ""
0.04 0.01098901 4 4 4 3 "SHOW" "square/javapoet" ""
0.6 0 5 5 4 5 "SHOW" "google/auto" ""
0.08 0.03581267 3 4 3 3 "SHOW" "jhy/jsoup" ""
0.25 0.0060241 4 5 3 4 "SHOW" "perwendel/spark" ""
